Year,Company Name,Country,Industry (Exiobase),Total Environmental Intensity (Revenue),Total Environmental Intensity (Operating Income),Total Environmental Cost,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity (Drinking water & Irrigation Water),Wood Production Capacity,% Imputed
2018,TELEPERFORMANCE SE,France,Activities auxiliary to financial intermediation (67),-1.09%,-10.05%,"(5,52,32,974)","(4,85,90,497)",-11456,"(6,46,758)","(1,51,520)",-2061,-3661,"(58,28,063)",1042,2%
2018,SGS SA,Switzerland,Activities auxiliary to financial intermediation (67),-0.81%,-5.31%,"(5,51,43,250)","(5,07,27,341)",-11763,"(6,73,791)","(1,57,783)",-2131,-3489,"(35,67,524)",571,0%
2018,INTERTEK GROUP PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-1.53%,-9.38%,"(5,46,77,862)","(5,34,89,006)",-12428,"(7,11,263)","(1,66,744)",-2244,-3428,"(2,93,207)",458,1%
2018,APPLUS SERVICES SA,Spain,Activities auxiliary to financial intermediation (67),-2.26%,-35.02%,"(4,32,98,590)","(1,89,12,678)",-4652,"(2,49,594)",-58535,-811,-3850,"(2,40,69,048)",578,2%
2018,BUREAU VERITAS SA,France,Activities auxiliary to financial intermediation (67),-0.56%,-4.40%,"(3,08,62,191)","(3,01,89,038)",-7276,"(4,02,067)",-94143,-1298,-3953,"(1,65,542)",1126,3%
2018,THOMSON REUTERS CORP,Canada,Activities auxiliary to financial intermediation (67),-0.55%,-4.08%,"(3,04,20,679)","(2,49,69,269)",-7800,"(3,39,439)",-79427,-1281,"(1,94,781)","(48,35,062)",6380,6%
2018,SAGA PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-2.59%,-11.19%,"(2,83,71,092)","(2,77,54,833)",-6407,"(3,69,092)",-86530,-1161,-1053,"(1,52,156)",140,1%
2018,RELX PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-0.26%,-1.02%,"(2,52,05,768)","(2,39,29,648)",-5996,"(3,17,928)",-74511,-1044,-9169,"(8,68,695)",1224,5%
2018,CHINA PACIFIC INSURANCE (GROUP) COMPANY LIMITED,China,Activities auxiliary to financial intermediation (67),-0.04%,-0.48%,"(2,22,28,620)","(2,17,14,912)",-4476,"(2,64,529)",-60836,-820,-74336,"(1,06,967)",-1743,19%
2018,RANDSTAD NV,Netherlands,Activities auxiliary to financial intermediation (67),-0.08%,-2.03%,"(2,11,21,606)","(2,00,63,296)",-6617,"(2,61,507)",-60285,-1064,-30725,"(7,04,473)",6361,15%
2018,DKSH HOLDING AG,Switzerland,Activities auxiliary to financial intermediation (67),-0.18%,-8.64%,"(2,08,48,307)","(1,98,32,721)",-4810,"(2,62,305)",-61183,-858,-5902,"(6,81,495)",967,1%
2018,CAPITA PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-0.40%,-4.21%,"(1,98,69,242)","(1,94,34,235)",-4718,"(2,58,297)",-60543,-834,-4795,"(1,06,459)",640,3%
2018,STANTEC INCORPORATED,Canada,Activities auxiliary to financial intermediation (67),-0.58%,-7.66%,"(1,43,60,819)","(1,19,07,570)",-3657,"(1,61,655)",-37831,-604,-87064,"(21,65,290)",2852,5%
2018,VIENNA INSURANCE GROUP,Austria,Activities auxiliary to financial intermediation (67),-0.10%,-2.98%,"(1,12,54,420)","(1,10,19,670)",-2731,"(1,38,899)",-32334,-472,-3913,-56846,446,1%
2018,EXPERIAN PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-0.24%,-0.99%,"(1,11,61,024)","(1,09,16,123)",-2687,"(1,45,061)",-34000,-472,-3343,-59784,446,4%
2018,WOLTERS KLUWER NV,Netherlands,Activities auxiliary to financial intermediation (67),-0.19%,-0.95%,"(91,87,758)","(87,38,222)",-2361,"(1,15,262)",-26840,-405,-5497,"(3,00,310)",1138,8%
2018,S&P GLOBAL INC,United States,Activities auxiliary to financial intermediation (67),-0.13%,-0.28%,"(79,06,752)","(77,31,902)",-2598,"(1,03,021)",-24018,-414,-5059,-42213,2473,19%
2018,LONDON STOCK EXCHANGE GROUP PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-0.23%,-0.67%,"(61,37,010)","(59,80,297)",-1517,-79442,-18618,-263,-2613,-54609,349,6%
2018,HONG KONG EXCHANGES AND CLEARING LIMITED,Hong Kong,Activities auxiliary to financial intermediation (67),-0.30%,-0.46%,"(55,29,594)","(54,08,517)",-1363,-71163,-16659,-235,-2612,-29292,246,4%
2018,RICARDO PLC,United Kingdom,Activities auxiliary to financial intermediation (67),-1.13%,-11.83%,"(54,58,667)","(53,39,876)",-1248,-71002,-16645,-225,-465,-29269,62,1%
2018,ASX LIMITED,Australia,Activities auxiliary to financial intermediation (67),-0.62%,-0.94%,"(44,07,189)","(43,10,435)",-1045,-57183,-13378,-185,-1584,-23524,145,3%
